"gym_id","name","category","location","description","quantity"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Row machine","Selectorized Machine","2nd floor","Selectorized horizontal rowing machine targeting the mid-back and rear deltoids.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Back extension machine","Selectorized Machine","2nd floor","Machine for isolated lower back extension movements.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Abdominal crunch machine","Selectorized Machine","2nd floor","Selectorized machine for guided abdominal crunching movements.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Triceps extension machine","Selectorized Machine","2nd floor","Selectorized machine for isolated triceps extension movements.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Seated leg press","Selectorized Machine","2nd floor","Selectorized leg press machine in a seated position.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Biceps curl machine","Selectorized Machine","2nd floor","Selectorized machine for isolated biceps curl movements.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Lateral raise machine","Selectorized Machine","2nd floor","Selectorized machine for isolated lateral deltoid raise movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Pectoral fly machine","Selectorized Machine","2nd floor","Selectorized machine for chest fly movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Standing calf raise","Selectorized Machine","2nd floor","Machine for isolated standing calf raise movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Hip & glute machine","Selectorized Machine","2nd floor","Machine designed for hip extension and glute isolation movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Hip adduction machine","Selectorized Machine","2nd floor","Seated machine for inner thigh adduction movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Hip abduction machine","Selectorized Machine","2nd floor","Seated machine for outer thigh abduction movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Glute drive machine","Selectorized Machine","1st floor","Machine designed for hip thrust movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Cable","Cable","2nd floor","Functional cable station with adjustable pulley.","11"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Seated cable row machine","Cable","2nd floor","Cable machine designed for seated rowing movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Linear leg press machine","Plate-Loaded Machine","1st floor","Plate-loaded leg press machine on a linear track.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Hack squat machine","Plate-Loaded Machine","1st floor","Plate-loaded machine for squat movements on an angled sled.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Seated calf raise machine","Plate-Loaded Machine","1st floor","Seated machine for isolated calf raise movements targeting the soleus.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Power rack (squat rack)","Power Rack","1st floor","Full-cage power rack for barbell squats bench press and other free weight compound movements.","9"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Smith machine","Smith Machine","1st floor","Guided barbell machine on a fixed vertical track.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Incline bench","Bench & Rack","1st floor","Adjustable incline bench for dumbbell or barbell pressing and fly movements.","13"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Flat bench rack","Bench & Rack","1st floor","Flat bench with an integrated barbell rack.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Back extension bench","Bench & Rack","1st floor","Angled bench for bodyweight or weighted back extension and hyperextension movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Decline situp board","Bench & Rack","1st floor","Angled board for decline sit-up movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Landmine","Bench & Rack","1st floor","Floor-mounted barbell pivot attachment for landmine press row and rotational exercises.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Glute ham / reverse hyper combo","Bench & Rack","1st floor","Combination machine for glute-ham raises and reverse hyperextensions.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Power tower","Bench & Rack","1st floor","Multi-station bodyweight tower supporting pull-ups dips leg raises and push-ups.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Yoga Mat Space","Open Space","2nd floor","Open floor area with yoga mats for stretching bodyweight band dumbbell and kettlebell exercises. Quantity represents simultaneous user capacity.","8"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Plyometric box","Plyometric","2nd floor","Sturdy box for box jumps step-ups and other plyometric movements.","2"
